id,name,staticDataUrl,dynamicDataUrl,limitedAccess,uuid,latitude,longitude,city,country_code,province,region,mark,usage,accessPoints,capacity,contactPersons,minimumHeightInMeters,openingTimes,tariffs
412,"Garage P6 Rijnkade (Utrecht)",https://npropendata.rdw.nl/parkingdata/v2/static/70abd541-a025-4b29-b99c-0a96a6f23a06,http://opendata.technolution.nl/opendata/parkingdata/v1/dynamic/931ca30a-d1d7-41d3-b263-9ca1242d70e0,0,70abd541-a025-4b29-b99c-0a96a6f23a06,52.090173,5.11464,Utrecht,nl,Utrecht,Noordwest-Nederland,average,garage,1,379,0,1.95,1,1
413,"114105 Bavinkstraat / Molenkampspark",https://npropendata.rdw.nl/parkingdata/v2/static/aec82a31-c739-426e-b048-081712f51bbd,,0,aec82a31-c739-426e-b048-081712f51bbd,52.3525149826642,6.66611400300967,Almelo,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,0.0,0,1
414,"Blauwe Zone Past. Neujeans (B)",https://npropendata.rdw.nl/parkingdata/v2/static/f301dfc0-e8b4-4de9-956e-7669e99947ae,,0,f301dfc0-e8b4-4de9-956e-7669e99947ae,50.817785703927,6.0064023365011,Bocholtz,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
415,"Garage Neptunusplein (Assen)",https://npropendata.rdw.nl/parkingdata/v2/static/8b82aaf7-f781-4716-a15f-beae58f5061e,,0,8b82aaf7-f781-4716-a15f-beae58f5061e,52.997202,6.559156,Assen,nl,Drenthe,Noord-Nederland,average,garage,1,194,0,2.0,1,1
416,"Paal 12",https://npropendata.rdw.nl/parkingdata/v2/static/844d964d-4c4f-410d-bdae-34a955d50fcb,,0,844d964d-4c4f-410d-bdae-34a955d50fcb,53.0389658691585,4.71569702327973,Texel,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
417,"WH82X Westpoort niet fiscaal",https://npropendata.rdw.nl/parkingdata/v2/static/fe1b6831-4ede-4277-9781-f4d919b07ac3,,0,fe1b6831-4ede-4277-9781-f4d919b07ac3,52.4076108214183,4.79798943919873,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
418,"Javastraat Meppel straatparkeren",https://npropendata.rdw.nl/parkingdata/v2/static/85070e24-c2fa-4859-9ed4-7a824900a996,,0,85070e24-c2fa-4859-9ed4-7a824900a996,52.6992457661703,6.19509167445888,Meppel,nl,Drenthe,Noord-Nederland,onstreet,onstreet,0,,0,,0,1
419,"Betaald parkeren rand 2",https://npropendata.rdw.nl/parkingdata/v2/static/73d7b541-f1bc-41ff-a4d1-1deb3108dcce,,0,73d7b541-f1bc-41ff-a4d1-1deb3108dcce,,,,,,,onstreet,onstreet,0,,0,,0,1
420,"Garage Doorneind (Helmond)",https://npropendata.rdw.nl/parkingdata/v2/static/d93af391-9b60-43e8-9c79-c7a72e736eb1,,0,d93af391-9b60-43e8-9c79-c7a72e736eb1,51.47843,5.65842,Helmond,nl,Noord-Brabant,Zuid-Nederland,average,garage,1,470,0,0.0,1,1
421,"Gebied G",https://npropendata.rdw.nl/parkingdata/v2/static/ef226ebd-e798-4e91-b60d-24dbabd57f3f,,0,ef226ebd-e798-4e91-b60d-24dbabd57f3f,52.3521604167038,4.62122326998523,Heemstede,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
422,"Parkeerterrein Noordduinen en Zuidduinen",https://npropendata.rdw.nl/parkingdata/v2/static/c4d8dca9-b8c9-4e5d-9e91-258ae773d2ae,,0,c4d8dca9-b8c9-4e5d-9e91-258ae773d2ae,52.1942354111665,4.39102931010927,Katwijk,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
423,"Carpool Heerenveen A7/A32 (Heerenveen)",https://npropendata.rdw.nl/parkingdata/v2/static/8189b085-aa21-470c-a8a3-16e9b0c2c450,,0,8189b085-aa21-470c-a8a3-16e9b0c2c450,52.97183,5.91269,Heerenveen,nl,"Fryslân",Noord-Nederland,average,carpool,1,40,0,0.0,1,1
